round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,reason
NFHS-1,12,madhya pradesh,24,Khargone,Dhar,22.0,1991,67.5,fuzzy,low fuzzy match score
NFHS-1,13,maharashtra,1,MUMBAI,Bid,18.0,1991,60.00000000000001,fuzzy,low fuzzy match score
NFHS-1,14,manipur,1,SENAPATI,Manipur,,1991,26.66666666666667,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,14,manipur,2,TAMENGLONG,Manipur,,1991,23.529411764705888,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,14,manipur,3,CHURACHANPUR,Manipur,,1991,75.00000000000001,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,14,manipur,5,THOUBAL,Manipur,,1991,14.28571428571429,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,14,manipur,6,BISHNUPUR,Manipur,,1991,50.0,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,15,meghalaya,1,JAINTIA HILLS,Meghalaya,,1991,34.54545454545455,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,15,meghalaya,2,EAST KHASI HILLS,Meghalaya,,1991,32.727272727272734,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,15,meghalaya,3,WEST KHASI HILLS,Meghalaya,,1991,31.999999999999996,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,15,meghalaya,4,EAST GORA HILLS,Meghalaya,,1991,33.333333333333336,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,15,meghalaya,5,WEST GARO HILLS,Meghalaya,,1991,33.75,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,16,mizoram,1,AIZAWL,Mizoram,,1991,46.15384615384615,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,16,mizoram,2,LUNGLEI,Mizoram,,1991,14.28571428571429,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,16,mizoram,3,CHHIMTUIPUI,Mizoram,,1991,30.000000000000004,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,17,nagaland,1,KOHIMA,Nagaland,,1991,14.28571428571429,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-1,17,nagaland,2,PHEK,Nagaland,,1991,0.0,unresolved_no_source_data,no real district breakdown in census source (NE state)
