district_code,district_name,excluded_reason
35,gurdaspur,split_between_nfhs4_and_nfhs5
43,firozpur,split_between_nfhs4_and_nfhs5
81,bhiwani,split_between_nfhs4_and_nfhs5
90,north west,split_between_nfhs4_and_nfhs5
91,north,split_between_nfhs4_and_nfhs5
92,north east,split_between_nfhs4_and_nfhs5
93,east,split_between_nfhs4_and_nfhs5
94,new delhi,split_between_nfhs4_and_nfhs5
95,central,split_between_nfhs4_and_nfhs5
96,west,split_between_nfhs4_and_nfhs5
97,south west,split_between_nfhs4_and_nfhs5
98,south,split_between_nfhs4_and_nfhs5
133,muzaffarnagar,split_between_nfhs4_and_nfhs5
135,moradabad,split_between_nfhs4_and_nfhs5
140,ghaziabad,split_between_nfhs4_and_nfhs5
149,budaun,split_between_nfhs4_and_nfhs5
158,rae bareli,split_between_nfhs4_and_nfhs5
179,sultanpur,split_between_nfhs4_and_nfhs5
250,west siang,split_between_nfhs4_and_nfhs5
251,east siang,split_between_nfhs4_and_nfhs5
254,tirap,split_between_nfhs4_and_nfhs5
256,kurung kumey,split_between_nfhs4_and_nfhs5
259,lohit,split_between_nfhs4_and_nfhs5
289,west tripura,split_between_nfhs4_and_nfhs5
290,south tripura,split_between_nfhs4_and_nfhs5
292,north tripura,split_between_nfhs4_and_nfhs5
293,west garo hills,split_between_nfhs4_and_nfhs5
294,east garo hills,split_between_nfhs4_and_nfhs5
296,west khasi hills,split_between_nfhs4_and_nfhs5
299,jaintia hills,split_between_nfhs4_and_nfhs5
301,dhubri,split_between_nfhs4_and_nfhs5
305,nagaon,split_between_nfhs4_and_nfhs5
306,sonitpur,split_between_nfhs4_and_nfhs5
311,sivasagar,split_between_nfhs4_and_nfhs5
312,jorhat,split_between_nfhs4_and_nfhs5
314,karbi anglong,split_between_nfhs4_and_nfhs5
335,barddhaman,split_between_nfhs4_and_nfhs5
401,surguja,split_between_nfhs4_and_nfhs5
406,bilaspur,split_between_nfhs4_and_nfhs5
409,durg,split_between_nfhs4_and_nfhs5
410,raipur,split_between_nfhs4_and_nfhs5
414,bastar,split_between_nfhs4_and_nfhs5
416,dakshin bastar dantewada,split_between_nfhs4_and_nfhs5
436,shajapur,split_between_nfhs4_and_nfhs5
472,sabarkantha,split_between_nfhs4_and_nfhs5
474,ahmadabad,split_between_nfhs4_and_nfhs5
475,surendranagar,split_between_nfhs4_and_nfhs5
476,rajkot,split_between_nfhs4_and_nfhs5
477,jamnagar,split_between_nfhs4_and_nfhs5
479,junagadh,split_between_nfhs4_and_nfhs5
481,bhavnagar,split_between_nfhs4_and_nfhs5
483,kheda,split_between_nfhs4_and_nfhs5
484,panchmahal,split_between_nfhs4_and_nfhs5
486,vadodara,split_between_nfhs4_and_nfhs5
517,thane,split_between_nfhs4_and_nfhs5
532,adilabad,split_between_nfhs4_and_nfhs5
533,nizamabad,split_between_nfhs4_and_nfhs5
534,karimnagar,split_between_nfhs4_and_nfhs5
535,medak,split_between_nfhs4_and_nfhs5
536,hyderabad,split_between_nfhs4_and_nfhs5
537,rangareddy,split_between_nfhs4_and_nfhs5
538,mahbubnagar,split_between_nfhs4_and_nfhs5
539,nalgonda,split_between_nfhs4_and_nfhs5
540,warangal,split_between_nfhs4_and_nfhs5
541,khammam,split_between_nfhs4_and_nfhs5
