district_code,district_name_nfhs4,district_name_nfhs5,status,district_code_nfhs5
1,kupwara,kupwara,stable,1
2,badgam,badgam,stable,2
3,leh,leh(ladakh),stable,3
4,kargil,kargil,stable,4
5,punch,punch,stable,5
6,rajouri,rajouri,stable,6
7,kathua,kathua,stable,7
8,baramula,baramula,stable,8
9,bandipore,bandipore,stable,9
10,srinagar,srinagar,stable,10
11,ganderbal,ganderbal,stable,11
12,pulwama,pulwama,stable,12
13,shupiyan,shupiyan,stable,13
14,anantnag,anantnag,stable,14
15,kulgam,kulgam,stable,15
16,doda,doda,stable,16
17,ramban,ramban,stable,17
18,kishtwar,kishtwar,stable,18
19,udhampur,udhampur,stable,19
20,reasi,reasi,stable,20
21,jammu,jammu,stable,21
22,samba,samba,stable,22
23,chamba,chamba,stable,23
24,kangra,kangra,stable,24
25,lahul and spiti,lahul & spiti,stable,25
26,kullu,kullu,stable,26
27,mandi,mandi,stable,27
28,hamirpur,hamirpur,stable,28
29,una,una,stable,29
30,bilaspur,bilaspur,stable,30
31,solan,solan,stable,31
32,sirmaur,sirmaur,stable,32
33,shimla,shimla,stable,33
34,kinnaur,kinnaur,stable,34
36,kapurthala,kapurthala,stable,36
37,jalandhar,jalandhar,stable,37
38,hoshiarpur,hoshiarpur,stable,38
39,sangrur,sangrur,stable,53
40,fatehgarh sahib,fatehgarh sahib,stable,40
41,ludhiana,ludhiana,stable,41
42,moga,moga,stable,42
44,muktsar,muktsar,stable,44
45,faridkot,faridkot,stable,45
46,bathinda,bathinda,stable,46
47,mansa,mansa,stable,47
48,patiala,patiala,stable,48
49,amritsar,amritsar,stable,49
50,tarn taran,tarn taran,stable,50
51,rupnagar,rupnagar,stable,51
52,sahibzada ajit singh nagar,sahibzada ajit singh nagar,stable,52
53,shahid bhagat singh nagar,shahid bhagat singh nagar,stable,39
54,barnala,barnala,stable,54
55,chandigarh,chandigarh,stable,55
56,uttarkashi,uttarkashi,stable,56
57,chamoli,chamoli,stable,57
58,rudraprayag,rudraprayag,stable,58
59,tehri garhwal,tehri garhwal,stable,59
60,dehradun,dehradun,stable,60
61,garhwal,garhwal,stable,61
62,pithoragarh,pithoragarh,stable,62
63,bageshwar,bageshwar,stable,63
64,almora,almora,stable,64
65,champawat,champawat,stable,65
66,nainital,nainital,stable,66
67,udham singh nagar,udham singh nagar,stable,67
68,hardwar,hardwar,stable,68
69,panchkula,panchkula,stable,69
70,ambala,ambala,stable,70
71,yamunanagar,yamunanagar,stable,71
72,kurukshetra,kurukshetra,stable,72
73,kaithal,kaithal,stable,73
74,karnal,karnal,stable,74
75,panipat,panipat,stable,75
76,sonipat,sonipat,stable,76
77,jind,jind,stable,77
78,fatehabad,fatehabad,stable,78
79,sirsa,sirsa,stable,79
80,hisar,hisar,stable,80
82,rohtak,rohtak,stable,82
83,jhajjar,jhajjar,stable,83
84,mahendragarh,mahendragarh,stable,84
85,rewari,rewari,stable,85
86,gurgaon,gurgaon,stable,86
87,mewat,mewat,stable,87
88,faridabad,faridabad,stable,88
89,palwal,palwal,stable,89
99,ganganagar,ganganagar,stable,99
100,hanumangarh,hanumangarh,stable,100
101,bikaner,bikaner,stable,101
102,churu,churu,stable,102
103,jhunjhunun,jhunjhunun,stable,103
104,alwar,alwar,stable,104
105,bharatpur,bharatpur,stable,105
106,dhaulpur,dhaulpur,stable,106
107,karauli,karauli,stable,107
108,sawai madhopur,sawai madhopur,stable,108
109,dausa,dausa,stable,109
110,jaipur,jaipur,stable,110
111,sikar,sikar,stable,111
112,nagaur,nagaur,stable,112
113,jodhpur,jodhpur,stable,113
114,jaisalmer,jaisalmer,stable,114
115,barmer,barmer,stable,115
116,jalor,jalor,stable,116
117,sirohi,sirohi,stable,117
118,pali,pali,stable,118
119,ajmer,ajmer,stable,119
120,tonk,tonk,stable,120
121,bundi,bundi,stable,121
122,bhilwara,bhilwara,stable,122
123,rajsamand,rajsamand,stable,123
124,dungarpur,dungarpur,stable,124
